model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_bert-base-uncased,go_emotions,ekman6,42,anger,0.5347432024169184,,,726
hf_bert-base-uncased,go_emotions,ekman6,42,disgust,0.4,,,123
hf_bert-base-uncased,go_emotions,ekman6,42,fear,0.6597938144329897,,,98
hf_bert-base-uncased,go_emotions,ekman6,42,joy,0.8247119392007846,,,2104
hf_bert-base-uncased,go_emotions,ekman6,42,sadness,0.6052631578947368,,,379
hf_bert-base-uncased,go_emotions,ekman6,42,surprise,0.5190972222222222,,,677
hf_bert-base-uncased,go_emotions,ekman6,42,neutral,0.6755555555555556,,,1787
hf_bert-base-uncased,go_emotions,ekman6,43,anger,0.5360524399126001,,,726
hf_bert-base-uncased,go_emotions,ekman6,43,disgust,0.4819277108433735,,,123
hf_bert-base-uncased,go_emotions,ekman6,43,fear,0.6432748538011696,,,98
hf_bert-base-uncased,go_emotions,ekman6,43,joy,0.8280195485222248,,,2104
hf_bert-base-uncased,go_emotions,ekman6,43,sadness,0.5956204379562043,,,379
hf_bert-base-uncased,go_emotions,ekman6,43,surprise,0.5865237366003063,,,677
hf_bert-base-uncased,go_emotions,ekman6,43,neutral,0.619375,,,1787
hf_bert-base-uncased,go_emotions,ekman6,44,anger,0.5476190476190477,,,726
hf_bert-base-uncased,go_emotions,ekman6,44,disgust,0.49056603773584906,,,123
hf_bert-base-uncased,go_emotions,ekman6,44,fear,0.6504854368932039,,,98
hf_bert-base-uncased,go_emotions,ekman6,44,joy,0.8308128544423441,,,2104
hf_bert-base-uncased,go_emotions,ekman6,44,sadness,0.6028169014084507,,,379
hf_bert-base-uncased,go_emotions,ekman6,44,surprise,0.6024799416484318,,,677
hf_bert-base-uncased,go_emotions,ekman6,44,neutral,0.6107634543178974,,,1787
