model,dataset,schema,seed,emotion,f1,support
naive_bayes_bow,go_emotions,ekman6,42,anger,0.4134742404227213,726
naive_bayes_bow,go_emotions,ekman6,42,disgust,0.1990521327014218,123
naive_bayes_bow,go_emotions,ekman6,42,fear,0.1566265060240964,98
naive_bayes_bow,go_emotions,ekman6,42,joy,0.727867320719458,2104
naive_bayes_bow,go_emotions,ekman6,42,sadness,0.39452054794520547,379
naive_bayes_bow,go_emotions,ekman6,42,surprise,0.4401650618982118,677
naive_bayes_bow,go_emotions,ekman6,42,neutral,0.5789052069425901,1787
logreg_bow,go_emotions,ekman6,42,anger,0.4641724793912492,726
logreg_bow,go_emotions,ekman6,42,disgust,0.4728682170542636,123
logreg_bow,go_emotions,ekman6,42,fear,0.5658536585365853,98
logreg_bow,go_emotions,ekman6,42,joy,0.7674305216967333,2104
logreg_bow,go_emotions,ekman6,42,sadness,0.5228426395939086,379
logreg_bow,go_emotions,ekman6,42,surprise,0.4736129905277402,677
logreg_bow,go_emotions,ekman6,42,neutral,0.6323057953144267,1787
linsvm_bow,go_emotions,ekman6,42,anger,0.12090680100755667,726
linsvm_bow,go_emotions,ekman6,42,disgust,0.13533834586466165,123
linsvm_bow,go_emotions,ekman6,42,fear,0.3870967741935484,98
linsvm_bow,go_emotions,ekman6,42,joy,0.7392550143266475,2104
linsvm_bow,go_emotions,ekman6,42,sadness,0.2948717948717949,379
linsvm_bow,go_emotions,ekman6,42,surprise,0.15243101182654403,677
linsvm_bow,go_emotions,ekman6,42,neutral,0.40182996568814333,1787
random_forest_bow,go_emotions,ekman6,42,anger,0.25749167591564925,726
random_forest_bow,go_emotions,ekman6,42,disgust,0.20408163265306123,123
random_forest_bow,go_emotions,ekman6,42,fear,0.18518518518518517,98
random_forest_bow,go_emotions,ekman6,42,joy,0.7487370380218027,2104
random_forest_bow,go_emotions,ekman6,42,sadness,0.3643724696356275,379
random_forest_bow,go_emotions,ekman6,42,surprise,0.18337408312958436,677
random_forest_bow,go_emotions,ekman6,42,neutral,0.5571472112160927,1787
