model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
hf_distilbert-base-uncased,go_emotions,ekman6,42,anger,0.5465742879137798,,,726
hf_distilbert-base-uncased,go_emotions,ekman6,42,disgust,0.4117647058823529,,,123
hf_distilbert-base-uncased,go_emotions,ekman6,42,fear,0.5934065934065934,,,98
hf_distilbert-base-uncased,go_emotions,ekman6,42,joy,0.8281101614434948,,,2104
hf_distilbert-base-uncased,go_emotions,ekman6,42,sadness,0.5863570391872278,,,379
hf_distilbert-base-uncased,go_emotions,ekman6,42,surprise,0.5836575875486382,,,677
hf_distilbert-base-uncased,go_emotions,ekman6,42,neutral,0.6651672757942086,,,1787
hf_distilbert-base-uncased,go_emotions,ekman6,43,anger,0.5008319467554077,,,726
hf_distilbert-base-uncased,go_emotions,ekman6,43,disgust,0.4842105263157895,,,123
hf_distilbert-base-uncased,go_emotions,ekman6,43,fear,0.6595744680851063,,,98
hf_distilbert-base-uncased,go_emotions,ekman6,43,joy,0.8216499761564139,,,2104
hf_distilbert-base-uncased,go_emotions,ekman6,43,sadness,0.5929203539823009,,,379
hf_distilbert-base-uncased,go_emotions,ekman6,43,surprise,0.5524956970740104,,,677
hf_distilbert-base-uncased,go_emotions,ekman6,43,neutral,0.6636069114470843,,,1787
hf_distilbert-base-uncased,go_emotions,ekman6,44,anger,0.5259146341463414,,,726
hf_distilbert-base-uncased,go_emotions,ekman6,44,disgust,0.4857142857142857,,,123
hf_distilbert-base-uncased,go_emotions,ekman6,44,fear,0.6043956043956044,,,98
hf_distilbert-base-uncased,go_emotions,ekman6,44,joy,0.8217751479289941,,,2104
hf_distilbert-base-uncased,go_emotions,ekman6,44,sadness,0.5868263473053892,,,379
hf_distilbert-base-uncased,go_emotions,ekman6,44,surprise,0.6138032305433186,,,677
hf_distilbert-base-uncased,go_emotions,ekman6,44,neutral,0.6439257929383603,,,1787
