model,dataset,schema,seed,emotion,f1,support
naive_bayes_tfidf,go_emotions,ekman6,42,anger,0.22981366459627328,726
naive_bayes_tfidf,go_emotions,ekman6,42,disgust,0.14035087719298245,123
naive_bayes_tfidf,go_emotions,ekman6,42,fear,0.11428571428571428,98
naive_bayes_tfidf,go_emotions,ekman6,42,joy,0.7209243908565687,2104
naive_bayes_tfidf,go_emotions,ekman6,42,sadness,0.2222222222222222,379
naive_bayes_tfidf,go_emotions,ekman6,42,surprise,0.24395604395604395,677
naive_bayes_tfidf,go_emotions,ekman6,42,neutral,0.5041077883667433,1787
logreg_tfidf,go_emotions,ekman6,42,anger,0.4851063829787234,726
logreg_tfidf,go_emotions,ekman6,42,disgust,0.4429530201342282,123
logreg_tfidf,go_emotions,ekman6,42,fear,0.5652173913043478,98
logreg_tfidf,go_emotions,ekman6,42,joy,0.7719990140497904,2104
logreg_tfidf,go_emotions,ekman6,42,sadness,0.5033112582781457,379
logreg_tfidf,go_emotions,ekman6,42,surprise,0.49574588769143507,677
logreg_tfidf,go_emotions,ekman6,42,neutral,0.6408762526217665,1787
linsvm_tfidf,go_emotions,ekman6,42,anger,0.2645739910313901,726
linsvm_tfidf,go_emotions,ekman6,42,disgust,0.3270440251572327,123
linsvm_tfidf,go_emotions,ekman6,42,fear,0.5174825174825175,98
linsvm_tfidf,go_emotions,ekman6,42,joy,0.7610030706243602,2104
linsvm_tfidf,go_emotions,ekman6,42,sadness,0.44569288389513106,379
linsvm_tfidf,go_emotions,ekman6,42,surprise,0.2834285714285714,677
linsvm_tfidf,go_emotions,ekman6,42,neutral,0.49433573635427397,1787
random_forest_tfidf,go_emotions,ekman6,42,anger,0.2107728337236534,726
random_forest_tfidf,go_emotions,ekman6,42,disgust,0.18571428571428572,123
random_forest_tfidf,go_emotions,ekman6,42,fear,0.13333333333333333,98
random_forest_tfidf,go_emotions,ekman6,42,joy,0.7433342310799892,2104
random_forest_tfidf,go_emotions,ekman6,42,sadness,0.321353065539112,379
random_forest_tfidf,go_emotions,ekman6,42,surprise,0.14948453608247422,677
random_forest_tfidf,go_emotions,ekman6,42,neutral,0.5309562398703404,1787
