model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
bilstm,go_emotions,ekman6,42,anger,0.38035714285714284,,,726
bilstm,go_emotions,ekman6,42,disgust,0.37349397590361444,,,123
bilstm,go_emotions,ekman6,42,fear,0.4460431654676259,,,98
bilstm,go_emotions,ekman6,42,joy,0.7656975323723431,,,2104
bilstm,go_emotions,ekman6,42,sadness,0.4918032786885246,,,379
bilstm,go_emotions,ekman6,42,surprise,0.39254170755642787,,,677
bilstm,go_emotions,ekman6,42,neutral,0.5640270827200471,,,1787
bilstm,go_emotions,ekman6,43,anger,0.4354183590576767,,,726
bilstm,go_emotions,ekman6,43,disgust,0.38323353293413176,,,123
bilstm,go_emotions,ekman6,43,fear,0.463768115942029,,,98
bilstm,go_emotions,ekman6,43,joy,0.7671095512659815,,,2104
bilstm,go_emotions,ekman6,43,sadness,0.5136054421768708,,,379
bilstm,go_emotions,ekman6,43,surprise,0.39798994974874374,,,677
bilstm,go_emotions,ekman6,43,neutral,0.6080443828016644,,,1787
bilstm,go_emotions,ekman6,44,anger,0.38738738738738737,,,726
bilstm,go_emotions,ekman6,44,disgust,0.3668639053254438,,,123
bilstm,go_emotions,ekman6,44,fear,0.3779527559055118,,,98
bilstm,go_emotions,ekman6,44,joy,0.774031202818319,,,2104
bilstm,go_emotions,ekman6,44,sadness,0.4679376083188908,,,379
bilstm,go_emotions,ekman6,44,surprise,0.45231607629427795,,,677
bilstm,go_emotions,ekman6,44,neutral,0.6134133042529989,,,1787
