model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
naive_bayes_tfidf,go_emotions,ekman6,42,anger,0.15607580824972128,0.12235445049924906,0.18880783425672232,726
naive_bayes_tfidf,go_emotions,ekman6,42,disgust,0.0903954802259887,0.03591751408425753,0.15294117647058825,123
naive_bayes_tfidf,go_emotions,ekman6,42,fear,0.06711409395973154,0.015384615384615385,0.12766575952498763,98
naive_bayes_tfidf,go_emotions,ekman6,42,joy,0.6814070351758794,0.6647788319948701,0.6978394548062339,2104
naive_bayes_tfidf,go_emotions,ekman6,42,sadness,0.14937759336099585,0.10500760258680422,0.1922587038299376,379
naive_bayes_tfidf,go_emotions,ekman6,42,surprise,0.1672394043528064,0.13394513309557848,0.20045712949120825,677
naive_bayes_tfidf,go_emotions,ekman6,42,neutral,0.40117776959882223,0.3777131489970473,0.4236816654174424,1787
logreg_tfidf,go_emotions,ekman6,42,anger,0.3962594973699591,0.36593802103373096,0.4253565980813203,726
logreg_tfidf,go_emotions,ekman6,42,disgust,0.38222222222222224,0.3,0.45674348045943797,123
logreg_tfidf,go_emotions,ekman6,42,fear,0.34615384615384615,0.24653340788370146,0.4431470392548236,98
logreg_tfidf,go_emotions,ekman6,42,joy,0.7226640159045725,0.7080841691773768,0.7387587986080547,2104
logreg_tfidf,go_emotions,ekman6,42,sadness,0.42909987669543775,0.3874132684114425,0.47076179133360857,379
logreg_tfidf,go_emotions,ekman6,42,surprise,0.42673206621704474,0.3954555060788733,0.4584671752971625,677
logreg_tfidf,go_emotions,ekman6,42,neutral,0.5869297163995068,0.5686926312210159,0.6052505257972711,1787
linsvm_tfidf,go_emotions,ekman6,42,anger,0.18527315914489312,0.14796904606928474,0.220680384758804,726
linsvm_tfidf,go_emotions,ekman6,42,disgust,0.3096774193548387,0.21734113712374586,0.4076495977204157,123
linsvm_tfidf,go_emotions,ekman6,42,fear,0.16216216216216217,0.0761904761904762,0.2564102564102564,98
linsvm_tfidf,go_emotions,ekman6,42,joy,0.7173800928313564,0.7023078673950299,0.7343503150170181,2104
linsvm_tfidf,go_emotions,ekman6,42,sadness,0.3090128755364807,0.2562761378637115,0.3655473479714466,379
linsvm_tfidf,go_emotions,ekman6,42,surprise,0.21481481481481482,0.17838694803806265,0.2525272253787879,677
linsvm_tfidf,go_emotions,ekman6,42,neutral,0.3856159143075746,0.3606037846273898,0.40921313125996456,1787
random_forest_tfidf,go_emotions,ekman6,42,anger,0.11928934010152284,0.08785438215077848,0.14926254554001644,726
random_forest_tfidf,go_emotions,ekman6,42,disgust,0.0625,0.014595895482915478,0.12601646385110948,123
random_forest_tfidf,go_emotions,ekman6,42,fear,0.020202020202020204,0.0,0.07043188333541069,98
random_forest_tfidf,go_emotions,ekman6,42,joy,0.7204359673024523,0.7043378205350037,0.7361689142927355,2104
random_forest_tfidf,go_emotions,ekman6,42,sadness,0.17798594847775176,0.12734913147648996,0.2259814342403628,379
random_forest_tfidf,go_emotions,ekman6,42,surprise,0.09809264305177112,0.06932642762284197,0.12448187738726608,677
random_forest_tfidf,go_emotions,ekman6,42,neutral,0.46755852842809364,0.44428839834795136,0.490146970032206,1787
bilstm,go_emotions,ekman6,42,anger,0.07653061224489796,0.051018783309502144,0.10379993424297221,726
bilstm,go_emotions,ekman6,42,disgust,0.016129032258064516,0.0,0.053121262855776105,123
bilstm,go_emotions,ekman6,42,fear,0.0,0.0,0.0,98
bilstm,go_emotions,ekman6,42,joy,0.6952503209242619,0.6789768507614117,0.7115396886166412,2104
bilstm,go_emotions,ekman6,42,sadness,0.13075060532687652,0.09013732394366197,0.17453603405699392,379
bilstm,go_emotions,ekman6,42,surprise,0.18204488778054864,0.1477829374666625,0.2168703114344169,677
bilstm,go_emotions,ekman6,42,neutral,0.49076831447290054,0.46983732959749985,0.510889513168159,1787
hf_distilbert-base-uncased,go_emotions,ekman6,42,anger,0.5228758169934641,0.49431616454045113,0.5507452990538927,726
hf_distilbert-base-uncased,go_emotions,ekman6,42,disgust,0.45454545454545453,0.36633000353606787,0.5301524940341075,123
hf_distilbert-base-uncased,go_emotions,ekman6,42,fear,0.5714285714285714,0.47293208813909454,0.6545454545454545,98
hf_distilbert-base-uncased,go_emotions,ekman6,42,joy,0.7883349012229539,0.7749861830609976,0.8015709381147489,2104
hf_distilbert-base-uncased,go_emotions,ekman6,42,sadness,0.5416036308623298,0.4942930653113603,0.5871566469325531,379
hf_distilbert-base-uncased,go_emotions,ekman6,42,surprise,0.5382308845577212,0.5037184502109288,0.5710104589634304,677
hf_distilbert-base-uncased,go_emotions,ekman6,42,neutral,0.5516778523489932,0.5294287839547573,0.5733206550134025,1787
hf_bert-base-uncased,go_emotions,ekman6,42,anger,0.5115681233933161,0.4793483272049885,0.5410615886540914,726
hf_bert-base-uncased,go_emotions,ekman6,42,disgust,0.4444444444444444,0.3555208333333334,0.524755835312038,123
hf_bert-base-uncased,go_emotions,ekman6,42,fear,0.5521472392638037,0.45252136371728685,0.6363636363636364,98
hf_bert-base-uncased,go_emotions,ekman6,42,joy,0.8054465728132933,0.7917136911198236,0.8185396103023969,2104
hf_bert-base-uncased,go_emotions,ekman6,42,sadness,0.5343511450381679,0.4949486389316898,0.573243936428868,379
hf_bert-base-uncased,go_emotions,ekman6,42,surprise,0.5299401197604791,0.497702555704736,0.5639162221618224,677
hf_bert-base-uncased,go_emotions,ekman6,42,neutral,0.5559614745931584,0.5349758890476384,0.5766596401047597,1787
