model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
bilstm,go_emotions,native,42,admiration,0.6101364522417154,0.5762636123407335,0.6451703177660086,504
bilstm,go_emotions,native,42,amusement,0.7659574468085106,0.7206469932055573,0.8063888352327603,264
bilstm,go_emotions,native,42,anger,0.20242914979757085,0.13436100131752307,0.2727466977466977,198
bilstm,go_emotions,native,42,annoyance,0.04081632653061224,0.015919488817891448,0.07387418831168831,320
bilstm,go_emotions,native,42,approval,0.13648293963254593,0.09040173572228447,0.1849169708029197,351
bilstm,go_emotions,native,42,caring,0.10596026490066225,0.0425531914893617,0.17778538812785388,135
bilstm,go_emotions,native,42,confusion,0.012987012987012988,0.0,0.04110297590930561,153
bilstm,go_emotions,native,42,curiosity,0.09404388714733543,0.053151745836175227,0.14160148444190693,284
bilstm,go_emotions,native,42,desire,0.21568627450980393,0.10983102918586794,0.3250271739130435,83
bilstm,go_emotions,native,42,disappointment,0.0,0.0,0.0,151
bilstm,go_emotions,native,42,disapproval,0.02877697841726619,0.006825938566552901,0.05860805860805861,267
bilstm,go_emotions,native,42,disgust,0.2361111111111111,0.145985401459854,0.3311279368962754,123
bilstm,go_emotions,native,42,embarrassment,0.0,0.0,0.0,37
bilstm,go_emotions,native,42,excitement,0.05504587155963303,0.0,0.11669117647058821,103
bilstm,go_emotions,native,42,fear,0.21978021978021978,0.1149098746081505,0.32989690721649484,78
bilstm,go_emotions,native,42,gratitude,0.9052631578947369,0.8817138935189724,0.9289964377156852,352
bilstm,go_emotions,native,42,grief,0.0,0.0,0.0,6
bilstm,go_emotions,native,42,joy,0.4881889763779528,0.41254749597781815,0.5622612121489761,161
bilstm,go_emotions,native,42,love,0.7722342733188721,0.7277097934220542,0.8130148770367371,238
bilstm,go_emotions,native,42,nervousness,0.0,0.0,0.0,23
bilstm,go_emotions,native,42,optimism,0.4946236559139785,0.4184349971685139,0.568561872909699,186
bilstm,go_emotions,native,42,pride,0.0,0.0,0.0,16
bilstm,go_emotions,native,42,realization,0.0,0.0,0.0,145
bilstm,go_emotions,native,42,relief,0.0,0.0,0.0,11
bilstm,go_emotions,native,42,remorse,0.4318181818181818,0.2857142857142857,0.5555555555555556,56
bilstm,go_emotions,native,42,sadness,0.375,0.2976684555754323,0.44710684273709483,156
bilstm,go_emotions,native,42,surprise,0.2916666666666667,0.20878615249780896,0.3716215068376794,141
bilstm,go_emotions,native,42,neutral,0.5539481615430982,0.5342689661296828,0.573687121855034,1787
