model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
naive_bayes_tfidf,go_emotions,ekman6,43,anger,0.16630196936542668,0.133612696106982,0.19748091701038867,726
naive_bayes_tfidf,go_emotions,ekman6,43,disgust,0.06593406593406594,0.022853896103896106,0.12436852331606216,123
naive_bayes_tfidf,go_emotions,ekman6,43,fear,0.09032258064516129,0.03005323527797598,0.1517771883289124,98
naive_bayes_tfidf,go_emotions,ekman6,43,joy,0.6810756471475246,0.6638359242140079,0.6968731869554752,2104
naive_bayes_tfidf,go_emotions,ekman6,43,sadness,0.14285714285714285,0.10040252679730259,0.18691690369768385,379
naive_bayes_tfidf,go_emotions,ekman6,43,surprise,0.17016317016317017,0.13745845960348915,0.20071324632683138,677
naive_bayes_tfidf,go_emotions,ekman6,43,neutral,0.4044280442804428,0.38161357979867405,0.42790261787794814,1787
logreg_tfidf,go_emotions,ekman6,43,anger,0.42259887005649716,0.3925606516327397,0.44887682217073216,726
logreg_tfidf,go_emotions,ekman6,43,disgust,0.34080717488789236,0.256131245601689,0.4163531499556344,123
logreg_tfidf,go_emotions,ekman6,43,fear,0.389937106918239,0.2900708042925102,0.4812883739354327,98
logreg_tfidf,go_emotions,ekman6,43,joy,0.7311238474956392,0.7154416862696545,0.7468530679667178,2104
logreg_tfidf,go_emotions,ekman6,43,sadness,0.3943298969072165,0.35245709362949484,0.4366494163859283,379
logreg_tfidf,go_emotions,ekman6,43,surprise,0.42391304347826086,0.39354133919437845,0.45180553607835944,677
logreg_tfidf,go_emotions,ekman6,43,neutral,0.5843253968253969,0.566336861379615,0.6024241762785809,1787
linsvm_tfidf,go_emotions,ekman6,43,anger,0.10309278350515463,0.07463177463177464,0.13366352240520396,726
linsvm_tfidf,go_emotions,ekman6,43,disgust,0.18571428571428572,0.0991532312694757,0.27420145477545854,123
linsvm_tfidf,go_emotions,ekman6,43,fear,0.25210084033613445,0.14535800482703146,0.34715458428088075,98
linsvm_tfidf,go_emotions,ekman6,43,joy,0.7276443536024527,0.7123959273272191,0.7437293577518558,2104
linsvm_tfidf,go_emotions,ekman6,43,sadness,0.31666666666666665,0.2638249516441006,0.3677768341530193,379
linsvm_tfidf,go_emotions,ekman6,43,surprise,0.15444015444015444,0.1186989247311828,0.19086159463785513,677
linsvm_tfidf,go_emotions,ekman6,43,neutral,0.38400603545831763,0.3599170400306371,0.407658595054544,1787
random_forest_tfidf,go_emotions,ekman6,43,anger,0.10727969348659004,0.07948209718670077,0.13785118166259638,726
random_forest_tfidf,go_emotions,ekman6,43,disgust,0.09302325581395349,0.02773569023569045,0.16541353383458646,123
random_forest_tfidf,go_emotions,ekman6,43,fear,0.0,0.0,0.0,98
random_forest_tfidf,go_emotions,ekman6,43,joy,0.7113945106736901,0.6936678224890096,0.7296274187062622,2104
random_forest_tfidf,go_emotions,ekman6,43,sadness,0.21967963386727687,0.16940352372833192,0.27294590711041067,379
random_forest_tfidf,go_emotions,ekman6,43,surprise,0.06179775280898876,0.039545237526856056,0.08914796238749255,677
random_forest_tfidf,go_emotions,ekman6,43,neutral,0.4724770642201835,0.4505289329715987,0.49542572671091784,1787
bilstm,go_emotions,ekman6,43,anger,0.07653061224489796,0.052763668462215155,0.10307016262537735,726
bilstm,go_emotions,ekman6,43,disgust,0.047619047619047616,0.0,0.10435107073329006,123
bilstm,go_emotions,ekman6,43,fear,0.0,0.0,0.0,98
bilstm,go_emotions,ekman6,43,joy,0.7005889281507656,0.6853771219966491,0.7155914536952722,2104
bilstm,go_emotions,ekman6,43,sadness,0.09925558312655088,0.059458121487824464,0.14188344101942835,379
bilstm,go_emotions,ekman6,43,surprise,0.1287779237844941,0.09419113993691237,0.16264354087251165,677
bilstm,go_emotions,ekman6,43,neutral,0.49393939393939396,0.4739495329243263,0.5154839449057875,1787
hf_distilbert-base-uncased,go_emotions,ekman6,43,anger,0.49494163424124515,0.46018712139316925,0.5285169650565903,726
hf_distilbert-base-uncased,go_emotions,ekman6,43,disgust,0.41148325358851673,0.3188365981844242,0.4945165945165945,123
hf_distilbert-base-uncased,go_emotions,ekman6,43,fear,0.5781990521327014,0.49994131455399066,0.6583408634538153,98
hf_distilbert-base-uncased,go_emotions,ekman6,43,joy,0.8049637087333177,0.7924798831103923,0.8171205654225459,2104
hf_distilbert-base-uncased,go_emotions,ekman6,43,sadness,0.563338301043219,0.5185158954988983,0.6070571586437085,379
hf_distilbert-base-uncased,go_emotions,ekman6,43,surprise,0.5553047404063205,0.5226180831799189,0.5851543676618015,677
hf_distilbert-base-uncased,go_emotions,ekman6,43,neutral,0.6082922586256886,0.5899748754492553,0.6271244386498623,1787
hf_bert-base-uncased,go_emotions,ekman6,43,anger,0.5272496831432193,0.49644333110788635,0.5574541926399121,726
hf_bert-base-uncased,go_emotions,ekman6,43,disgust,0.46078431372549017,0.3675499760115145,0.5410830299136146,123
hf_bert-base-uncased,go_emotions,ekman6,43,fear,0.5888888888888889,0.5028571428571429,0.6704561875985287,98
hf_bert-base-uncased,go_emotions,ekman6,43,joy,0.8030666027791088,0.7891929215513666,0.8159617562125249,2104
hf_bert-base-uncased,go_emotions,ekman6,43,sadness,0.543778801843318,0.4983807127706049,0.5904180935275132,379
hf_bert-base-uncased,go_emotions,ekman6,43,surprise,0.5030461270670148,0.4667851473614476,0.5378045149875812,677
hf_bert-base-uncased,go_emotions,ekman6,43,neutral,0.6179743223965763,0.600117356070074,0.6372310355806672,1787
