model,dataset,schema,features,device,macro_f1,micro_f1,subset_accuracy,ece,train_seconds,predict_latency_ms,throughput,model_size_mb,cost_usd,n_train,n_test,n_labels,seed
naive_bayes_tfidf,go_emotions,native,tfidf,cpu,0.12903595707148305,0.2930591259640103,0.1986364473926663,0.03337711000789613,1.5501558000105433,0.023446895152272735,42649.570167206926,55.269755363464355,,43410,5427,28,42
logreg_tfidf,go_emotions,native,tfidf,cpu,0.4389966209987138,0.49784648061832554,0.23954302561267735,0.06295808816445163,8.451865000010002,0.01952533627926661,51215.50715937585,12.54495620727539,,43410,5427,28,42
linsvm_tfidf,go_emotions,native,tfidf,cpu,0.29873042129346083,0.4332785987958402,0.28818868619863647,0.003812526248828563,19.881675899989204,0.029182384376528585,34267.2479087864,33.935397148132324,,43410,5427,28,42
random_forest_tfidf,go_emotions,native,tfidf,cpu,0.1766879867194848,0.3709918400183887,0.24009581721024506,0.0028519280368616,190.97237979999045,0.9919185737989327,1008.1472677440814,3403.6326866149902,,43410,5427,28,42
naive_bayes_tfidf,go_emotions,ekman6,tfidf,cpu,0.3108086716395069,0.514668039114771,0.380873410724157,0.05226245816433148,1.2557229999802075,0.018337774089181816,54532.24557880991,15.208905220031738,,43410,5427,7,42
logreg_tfidf,go_emotions,ekman6,tfidf,cpu,0.5578870295797766,0.6246554934823091,0.4309931822369633,0.07399517863974263,2.8319540999946184,0.01773613415013567,56382.07241414842,4.527823448181152,,43410,5427,7,42
linsvm_tfidf,go_emotions,ekman6,tfidf,cpu,0.44193725656763955,0.5583616298811545,0.42933480744426017,0.007339821230729016,5.317342099966481,0.019851833431680673,50373.18106871397,9.875523567199707,,43410,5427,7,42
random_forest_tfidf,go_emotions,ekman6,tfidf,cpu,0.32499264647759835,0.5342226109774765,0.4048277132854247,0.0069111238974782566,88.43504449998727,0.1308406854597692,7642.882613202751,1869.6253843307495,,43410,5427,7,42
naive_bayes_tfidf,go_emotions,sentiment3,tfidf,cpu,0.4848791696159772,0.5606948091294688,0.4203058780173208,0.07269743737235775,1.2326286000316031,0.017364418654669485,57589.02845452238,9.485926628112793,,43410,5427,4,42
logreg_tfidf,go_emotions,sentiment3,tfidf,cpu,0.6322421372259838,0.6577482214661305,0.4711627049935508,0.06525168049025643,2.327476799953729,0.016968583017834778,58932.43996560897,3.382518768310547,,43410,5427,4,42
linsvm_tfidf,go_emotions,sentiment3,tfidf,cpu,0.5150137552975439,0.5888588651008106,0.46360788649345863,0.013770332945652105,2.937237999984063,0.01825448683115872,54781.05242011474,6.438398361206055,,43410,5427,4,42
random_forest_tfidf,go_emotions,sentiment3,tfidf,cpu,0.4694099006944098,0.5707572359286553,0.44131195872489404,0.017136295826194428,73.15335759997834,0.08171639947990521,12237.44568244112,1601.4110097885132,,43410,5427,4,42
