model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
naive_bayes_tfidf,sem_eval_2018_task_1,ekman6,42,anger,0.6660009985022466,0.6430370760263948,0.6902143517431106,1101
naive_bayes_tfidf,sem_eval_2018_task_1,ekman6,42,disgust,0.6223776223776224,0.596965903043068,0.6482041479249797,1099
naive_bayes_tfidf,sem_eval_2018_task_1,ekman6,42,fear,0.5141318977119784,0.46929037346521146,0.5531986005233815,485
naive_bayes_tfidf,sem_eval_2018_task_1,ekman6,42,joy,0.7829070492825951,0.7675405865409793,0.7990264287144702,1669
naive_bayes_tfidf,sem_eval_2018_task_1,ekman6,42,sadness,0.5648351648351648,0.5377769387980798,0.5906690849095196,1049
naive_bayes_tfidf,sem_eval_2018_task_1,ekman6,42,surprise,0.058823529411764705,0.0197020187385299,0.10427781539155945,170
naive_bayes_tfidf,sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
logreg_tfidf,sem_eval_2018_task_1,ekman6,42,anger,0.6971480307831598,0.6755525285736653,0.7203204183971369,1101
logreg_tfidf,sem_eval_2018_task_1,ekman6,42,disgust,0.663453111305872,0.641261930021258,0.686360458361394,1099
logreg_tfidf,sem_eval_2018_task_1,ekman6,42,fear,0.6729166666666667,0.6383430677235433,0.7037056489262372,485
logreg_tfidf,sem_eval_2018_task_1,ekman6,42,joy,0.7871287128712872,0.7719817878159083,0.8026184691197481,1669
logreg_tfidf,sem_eval_2018_task_1,ekman6,42,sadness,0.6161616161616161,0.5924822216813257,0.6392104967491355,1049
logreg_tfidf,sem_eval_2018_task_1,ekman6,42,surprise,0.21487603305785125,0.15835362923935914,0.27174176867876737,170
logreg_tfidf,sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
linsvm_tfidf,sem_eval_2018_task_1,ekman6,42,anger,0.6771498771498772,0.6528737828271705,0.7016085801249833,1101
linsvm_tfidf,sem_eval_2018_task_1,ekman6,42,disgust,0.6114143920595534,0.5857697602518805,0.6364548198118232,1099
linsvm_tfidf,sem_eval_2018_task_1,ekman6,42,fear,0.6441947565543071,0.6064398674441042,0.6781037398307728,485
