model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,anger,0.33547557840616965,0.3055884885939778,0.36676809337025074,1101
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,disgust,0.19225251076040173,0.16407559843848882,0.22100493736746166,1099
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,fear,0.2345679012345679,0.19506018518518517,0.27390952758325116,485
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,joy,0.706108090821874,0.6881784220739353,0.7243583912016015,1669
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,sadness,0.3065496286293045,0.2770396816999389,0.3373525495047554,1049
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,surprise,0.08088235294117647,0.05189031531033873,0.11071459466139397,170
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,anger,0.37247474747474746,0.3418054728952731,0.40270999106013894,1101
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,disgust,0.05110132158590308,0.03249066617297664,0.0687286663613346,1099
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,fear,0.2608695652173913,0.21291077197281943,0.30642332415059687,485
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,joy,0.6303871439006574,0.6101761550164144,0.6498731211214179,1669
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,sadness,0.3620812544547398,0.32699038009364334,0.3960559337658599,1049
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,surprise,0.1414141414141414,0.08694867367760163,0.19637762237762235,170
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,anger,0.0905982905982906,0.06861609445749985,0.1138672004784371,1101
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,disgust,0.016230838593327322,0.007028497969027478,0.0272802473262032,1099
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,fear,0.1544256120527307,0.11289314516129033,0.20082563535432388,485
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,joy,0.6247675715879509,0.6040753485021497,0.6456969557697657,1669
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,sadness,0.13204225352112675,0.10592431874830648,0.16061790353128935,1049
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,surprise,0.05434782608695652,0.011761285909712725,0.1,170
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,anger,0.09458297506448839,0.0714939622511841,0.1197454054363049,1101
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,disgust,0.0,0.0,0.0,1099
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,fear,0.0,0.0,0.0,485
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,joy,0.5724271844660194,0.5494673870045323,0.5951620254911946,1669
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,sadness,0.053456221198156684,0.03467074270239339,0.07295471075668233,1049
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,surprise,0.045714285714285714,0.010926007975188307,0.0924989917999731,170
random_forest_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,42,anger,0.05263157894736842,0.035298312980128456,0.07136941033738942,1101
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,42,disgust,0.0,0.0,0.0,1099
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,42,fear,0.00411522633744856,0.0,0.013129822641944027,485
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,42,joy,0.5455274769354191,0.5214673065165603,0.567637363109667,1669
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,42,sadness,0.009478672985781991,0.001928408945781516,0.018570102135561744,1049
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,42,surprise,0.033707865168539325,0.0,0.07528927068723701,170
bilstm,go_emotions->sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,anger,0.40370615486432826,0.3744594199722405,0.4341555590825649,1101
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,disgust,0.05452946350043975,0.03514630700617731,0.07224988432721208,1099
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,fear,0.19708029197080293,0.15087174150064428,0.23941452507244487,485
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,joy,0.7034331628926224,0.6844287844891872,0.7234206943234159,1669
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,sadness,0.3379204892966361,0.30568929499992487,0.37179490029690276,1049
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,surprise,0.1339712918660287,0.06895706558485463,0.20339358032098395,170
hf_distilbert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,anger,0.37132616487455194,0.3399883720930233,0.4011022445656022,1101
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,disgust,0.07819287576020852,0.05641119920690514,0.09878847280497934,1099
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,fear,0.23465703971119134,0.1831183455818054,0.2810262273421164,485
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,joy,0.681203007518797,0.6603195847831298,0.7016270938460435,1669
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,sadness,0.5015792798483891,0.47277901958670504,0.5319518586604918,1049
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,surprise,0.1507537688442211,0.08421052631578947,0.2222222222222222,170
hf_bert-base-uncased,go_emotions->sem_eval_2018_task_1,ekman6,42,neutral,0.0,0.0,0.0,0
