model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
naive_bayes_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,anger,0.33910891089108913,0.3123673962440387,0.3628978291527172,726
naive_bayes_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,disgust,0.08619854721549637,0.07010671074460521,0.10269455256512333,123
naive_bayes_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,fear,0.15521064301552107,0.11109882005899706,0.20493845180752202,98
naive_bayes_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,joy,0.6330457863304578,0.6169561534183663,0.647715830248364,2104
naive_bayes_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,sadness,0.24905183312262957,0.22168033700541284,0.27718731224231874,379
naive_bayes_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,surprise,0.0832420591456736,0.056153993117443804,0.10781672434057077,677
naive_bayes_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,neutral,0.0,0.0,0.0,1787
logreg_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,anger,0.342582315945246,0.3194180499995249,0.3643256155764912,726
logreg_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,disgust,0.07683168316831683,0.06413238214927243,0.09158070859750753,123
logreg_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,fear,0.3256997455470738,0.26568587799123694,0.38728769943386515,98
logreg_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,joy,0.6720418391806494,0.6571256642700845,0.6866651629395717,2104
logreg_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,sadness,0.2523076923076923,0.22802982640990252,0.2780698429444372,379
logreg_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,surprise,0.18101933216168717,0.15286564842901323,0.210635658777856,677
logreg_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,neutral,0.0,0.0,0.0,1787
linsvm_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,anger,0.3521000893655049,0.32656041674958214,0.3771672860605078,726
linsvm_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,disgust,0.09163558870538092,0.07446735725349078,0.10947025348114277,123
linsvm_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,fear,0.4387755102040816,0.3448275862068966,0.5213077439141269,98
linsvm_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,joy,0.6607695709862893,0.6447937388378632,0.6769335116583025,2104
linsvm_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,sadness,0.3166332665330661,0.27905896752825976,0.3533021482153326,379
linsvm_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,surprise,0.0029455081001472753,0.0,0.008995502248875561,677
linsvm_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,neutral,0.0,0.0,0.0,1787
random_forest_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,anger,0.2947882736156352,0.26868945651272763,0.3182742613851588,726
random_forest_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,disgust,0.06742556917688267,0.05395777944530858,0.08151049079062957,123
random_forest_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,fear,0.49696969696969695,0.4,0.5838509316770186,98
random_forest_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,joy,0.66376217324449,0.6465128613099973,0.6801363502961774,2104
random_forest_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,sadness,0.21164021164021163,0.18649796325843,0.23638867379071807,379
random_forest_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,surprise,0.002932551319648094,0.0,0.00927357032457496,677
random_forest_tfidf,sem_eval_2018_task_1->go_emotions,ekman6,42,neutral,0.0,0.0,0.0,1787
bilstm,sem_eval_2018_task_1->go_emotions,ekman6,42,anger,0.26600763873286903,0.24915331450225423,0.2818502773272268,726
bilstm,sem_eval_2018_task_1->go_emotions,ekman6,42,disgust,0.048949434310782726,0.04015624055242399,0.0573412877781315,123
bilstm,sem_eval_2018_task_1->go_emotions,ekman6,42,fear,0.20382165605095542,0.11688074699023604,0.2890208231771015,98
bilstm,sem_eval_2018_task_1->go_emotions,ekman6,42,joy,0.5010339734121123,0.4808193150992383,0.5207468535571047,2104
bilstm,sem_eval_2018_task_1->go_emotions,ekman6,42,sadness,0.22154471544715448,0.1885913270306105,0.25524767045018787,379
bilstm,sem_eval_2018_task_1->go_emotions,ekman6,42,surprise,0.0,0.0,0.0,677
bilstm,sem_eval_2018_task_1->go_emotions,ekman6,42,neutral,0.0,0.0,0.0,1787
hf_distilbert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,anger,0.41576283441793205,0.3913007446552967,0.43820141271052965,726
hf_distilbert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,disgust,0.10966810966810966,0.09090366673898895,0.12745663398841398,123
hf_distilbert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,fear,0.41042345276872966,0.33699248120300757,0.4733764677689911,98
hf_distilbert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,joy,0.7075812274368231,0.6914408670097911,0.7219559994470969,2104
hf_distilbert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,sadness,0.3508771929824561,0.32058957328055204,0.38036492713052455,379
hf_distilbert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,surprise,0.12836970474967907,0.09635172961229947,0.16062176165803108,677
hf_distilbert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,neutral,0.0,0.0,0.0,1787
hf_bert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,anger,0.44180118946474084,0.4157738319890739,0.4667519275903569,726
hf_bert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,disgust,0.11510791366906475,0.09462649311120108,0.13435012896572862,123
hf_bert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,fear,0.38726790450928383,0.32201629184468755,0.44697470979155535,98
hf_bert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,joy,0.7006416131989001,0.6866554359475294,0.7150873172731557,2104
hf_bert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,sadness,0.36150845253576075,0.3301420458110514,0.3902125121491491,379
hf_bert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,surprise,0.2525879917184265,0.21778056521919917,0.28860762341008545,677
hf_bert-base-uncased,sem_eval_2018_task_1->go_emotions,ekman6,42,neutral,0.0,0.0,0.0,1787
