model,dataset,schema,seed,emotion,f1,f1_low,f1_high,support
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,anger,0.3593350383631714,0.32891145249554954,0.3884458758149849,1101
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,disgust,0.1783625730994152,0.15280667887607452,0.2049383829424834,1099
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,fear,0.2188679245283019,0.17970516646383142,0.25532437660097235,485
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,joy,0.6915520628683693,0.6724546959900217,0.7098643980171306,1669
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,sadness,0.29155313351498635,0.2634480904708936,0.3231605439046491,1049
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,surprise,0.09195402298850575,0.05714285714285714,0.12766357382818747,170
naive_bayes_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,neutral,0.0,0.0,0.0,0
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,anger,0.39753846153846156,0.36763764375206676,0.42857142857142855,1101
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,disgust,0.06800348735832606,0.049192446765769386,0.08745571722375813,1099
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,fear,0.2391681109185442,0.1958041958041958,0.283192181951412,485
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,joy,0.6313841598815693,0.6085254034613699,0.6529497638471446,1669
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,sadness,0.31321619556913677,0.2799037528076759,0.3467771454448559,1049
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,surprise,0.21739130434782608,0.15265930965814803,0.2807239217176515,170
logreg_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,neutral,0.0,0.0,0.0,0
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,anger,0.07124239791485665,0.051966685867895546,0.09160408222053044,1101
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,disgust,0.005439709882139619,0.0,0.012636523570344789,1099
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,fear,0.17439703153988867,0.1313076259254213,0.21702139154698605,485
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,joy,0.6307460437076111,0.6084591971353186,0.6532589372758792,1669
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,sadness,0.17113223854796888,0.14245804265724146,0.20016831742801972,1049
linsvm_tfidf,go_emotions->sem_eval_2018_task_1,ekman6,43,surprise,0.055865921787709494,0.011764705882352941,0.10935067313856574,170
